player,squad,league,season,transfermarkt_id,reason
Rodrigo Abajas,Valencia,es La Liga,2024/25,,no matching player
Keyliane Abdallah,Marseille,fr Ligue 1,2024/25,,no matching player
Yunis Abdelhamid,Saint-Étienne,fr Ligue 1,2024/25,,no matching player
Mohamed Abdelmoneim,Nice,fr Ligue 1,2024/25,,no matching player
Abel,Osasuna,es La Liga,2024/25,,no matching player
Nabil Aberdin,Getafe,es La Liga,2024/25,,no matching player
Oliver Abildgaard,Como,it Serie A,2024/25,,no matching player
Federico Accornero,Genoa,it Serie A,2024/25,,no matching player
Joshua Acheampong,Chelsea,eng Premier League,2024/25,,no matching player
Martin Adeline,Reims,fr Ligue 1,2024/25,,no matching player
Adrián,Betis,es La Liga,2024/25,,no matching player
Adryelson,Lyon,fr Ligue 1,2024/25,,no matching player
Oladapo Afolayan,St. Pauli,de Bundesliga,2024/25,,no matching player
Asher Agbinone,Crystal Palace,eng Premier League,2024/25,,no matching player
Álvaro Aguado,Espanyol,es La Liga,2024/25,,no matching player
Lorenzo Aguado,Real Madrid,es La Liga,2024/25,,no matching player
Jean-Eudes Aholou,Angers,fr Ligue 1,2024/25,,no matching player
Ayman Aiki,Saint-Étienne,fr Ligue 1,2024/25,,no matching player
Sergio Akieme,Reims,fr Ligue 1,2024/25,,no matching player
Paul Akouokou,Lyon,fr Ligue 1,2024/25,,no matching player
Jean-Daniel Akpa-Akpro,Monza,it Serie A,2024/25,,no matching player
David Akpan Ankeye,Genoa,it Serie A,2024/25,,no matching player
Chuba Akpom,Lille,fr Ligue 1,2024/25,,no matching player
Ibrahim Alani,Valladolid,es La Liga,2024/25,,no matching player
Andreas Albers,St. Pauli,de Bundesliga,2024/25,,no matching player
Ben Alexander Voll,St. Pauli,de Bundesliga,2024/25,,no matching player
Alfon,Celta Vigo,es La Liga,2024/25,,no matching player
Mohamed Ali Cho,Nice,fr Ligue 1,2024/25,,no matching player
Faride Alidou,Hellas Verona,it Serie A,2024/25,,no matching player
Dele Alli,Como,it Serie A,2024/25,,no matching player
Domingos André Ribeiro Almeida,Valencia,es La Liga,2024/25,,no matching player
Giorgio Altare,Venezia,it Serie A,2024/25,,no matching player
Adrià Altimira,Leganés,es La Liga,2024/25,,no matching player
Olabade Aluko,Leicester City,eng Premier League,2024/25,,no matching player
Skelly Alvero,Werder Bremen,de Bundesliga,2024/25,,no matching player
Will Alves,Leicester City,eng Premier League,2024/25,,no matching player
Selim Amallah,Valladolid,es La Liga,2024/25,,no matching player
Harry Amass,Manchester Utd,eng Premier League,2024/25,,no matching player
Amath,Valladolid,es La Liga,2024/25,,no matching player
Jordan Amavi,Brest,fr Ligue 1,2024/25,,no matching player
Michael Amir Murillo,Marseille,fr Ligue 1,2024/25,,no matching player
André,Wolves,eng Premier League,2024/25,,no matching player
Marcos André,Valladolid,es La Liga,2024/25,,no matching player
Lorenzo Anghelè,Juventus,it Serie A,2024/25,,no matching player
Faustino Anjorin,Empoli,it Serie A,2024/25,,no matching player
Antoniu,Espanyol,es La Liga,2024/25,,no matching player
Antony,Manchester Utd,eng Premier League,2024/25,,no matching player
Anuar,Valladolid,es La Liga,2024/25,,no matching player
Dennis Appiah,Saint-Étienne,fr Ligue 1,2024/25,,no matching player
Aritz Arambarri,Leganés,es La Liga,2024/25,,no matching player
Cameron Archer,Southampton,eng Premier League,2024/25,,no matching player
Adu Ares,Athletic Club,es La Liga,2024/25,,no matching player
David Argüelles,Getafe,es La Liga,2024/25,,no matching player
José Arnaiz,Osasuna,es La Liga,2024/25,,no matching player
Jann-Fiete Arp,Holstein Kiel,de Bundesliga,2024/25,,no matching player
Sergio Arribas,Betis,es La Liga,2024/25,,no matching player
Dehmaine Assoumani,Nantes,fr Ligue 1,2024/25,,no matching player
Valentin Atangana Edoa,Reims,fr Ligue 1,2024/25,,no matching player
Tommaso Augello,Cagliari,it Serie A,2024/25,,no matching player
Yann Aurel Bisseck,Inter,it Serie A,2024/25,,no matching player
Ezequiel Ávila,Betis,es La Liga,2024/25,,no matching player
Jordan Ayew,Crystal Palace,eng Premier League,2024/25,,no matching player
Jordan Ayew,Leicester City,eng Premier League,2024/25,,no matching player
Ayman Azhil,Dortmund,de Bundesliga,2024/25,,no matching player
Paulo Azzi,Cagliari,it Serie A,2024/25,,no matching player
Papa Ba,Girona,es La Liga,2024/25,,no matching player
Jacopo Bacci,Empoli,it Serie A,2024/25,,no matching player
Aliou Badara Baldé,Bochum,de Bundesliga,2024/25,,no matching player
Milan Badelj,Genoa,it Serie A,2024/25,,no matching player
Keita Baldé,Monza,it Serie A,2024/25,,no matching player
Mario Balotelli,Genoa,it Serie A,2024/25,,no matching player
Mohamed Bamba,Reims,fr Ligue 1,2024/25,,no matching player
Samuel Bamba,Bochum,de Bundesliga,2024/25,,no matching player
Daniel Bandeira,Hellas Verona,it Serie A,2024/25,,no matching player
Mattia Bani,Genoa,it Serie A,2024/25,,no matching player
Scott Banks,St. Pauli,de Bundesliga,2024/25,,no matching player
Adrian Baquerin,Valladolid,es La Liga,2024/25,,no matching player
Antonín Barák,Fiorentina,it Serie A,2024/25,,no matching player
Federico Barba,Como,it Serie A,2024/25,,no matching player
Gabriel Bares,Montpellier,fr Ligue 1,2024/25,,no matching player
Aymen Barkok,Mainz 05,de Bundesliga,2024/25,,no matching player
Daniele Baselli,Como,it Serie A,2024/25,,no matching player
Aboubacar Bassinga,Las Palmas,es La Liga,2024/25,,no matching player
Maximilian Bauer,Augsburg,de Bundesliga,2024/25,,no matching player
Rafael Bauza,Espanyol,es La Liga,2024/25,,no matching player
Timo Becker,Holstein Kiel,de Bundesliga,2024/25,,no matching player
Hannes Behrens,Hoffenheim,de Bundesliga,2024/25,,no matching player
Luken Beitia,Real Sociedad,es La Liga,2024/25,,no matching player
Armel Bella Kotchap,Southampton,eng Premier League,2024/25,,no matching player
Carlos Benavídez,Alavés,es La Liga,2024/25,,no matching player
Mergim Berisha,Hoffenheim,de Bundesliga,2024/25,,no matching player
Mergim Berisha,Augsburg,de Bundesliga,2024/25,,no matching player
Bernardo,Bochum,de Bundesliga,2024/25,,no matching player
Juan Bernat,Villarreal,es La Liga,2024/25,,no matching player
Juan Bernat,Getafe,es La Liga,2024/25,,no matching player
Maxime Bernauer,Saint-Étienne,fr Ligue 1,2024/25,,no matching player
Victor Bernth Kristiansen,Leicester City,eng Premier League,2024/25,,no matching player
Dimitry Bertaud,Montpellier,fr Ligue 1,2024/25,,no matching player
Jan-Niklas Beste,Freiburg,de Bundesliga,2024/25,,no matching player
Samuele Birindelli,Monza,it Serie A,2024/25,,no matching player
Augustine Boakye,Saint-Étienne,fr Ligue 1,2024/25,,no matching player
Mathéo Bodmer,Le Havre,fr Ligue 1,2024/25,,no matching player
